Series ID,Year,Period,Label,Value
LNS14000003,2019,M01,2019 Jan,3.5
LNS14000003,2019,M02,2019 Feb,3.2
LNS14000003,2019,M03,2019 Mar,3.3
LNS14000003,2019,M04,2019 Apr,3.2
LNS14000003,2019,M05,2019 May,3.3
LNS14000003,2019,M06,2019 Jun,3.3
LNS14000003,2019,M07,2019 Jul,3.3
LNS14000003,2019,M08,2019 Aug,3.4
LNS14000003,2019,M09,2019 Sep,3.2
LNS14000003,2019,M10,2019 Oct,3.3
LNS14000003,2019,M11,2019 Nov,3.3
LNS14000003,2019,M12,2019 Dec,3.1
LNS14000003,2020,M01,2020 Jan,3.0
LNS14000003,2020,M02,2020 Feb,3.0
LNS14000003,2020,M03,2020 Mar,3.9
LNS14000003,2020,M04,2020 Apr,14.1
LNS14000003,2020,M05,2020 May,12.3
LNS14000003,2020,M06,2020 Jun,10.1
LNS14000003,2020,M07,2020 Jul,9.2
LNS14000003,2020,M08,2020 Aug,7.4
LNS14000003,2020,M09,2020 Sep,7.0
LNS14000003,2020,M10,2020 Oct,6.0
LNS14000003,2020,M11,2020 Nov,5.9
LNS14000003,2020,M12,2020 Dec,6.0
LNS14000003,2021,M01,2021 Jan,5.7
LNS14000003,2021,M02,2021 Feb,5.6
LNS14000003,2021,M03,2021 Mar,5.4
LNS14000003,2021,M04,2021 Apr,5.3
LNS14000003,2021,M05,2021 May,5.1
LNS14000003,2021,M06,2021 Jun,5.2
