Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
Jan-2020,5796,2641,2404,751,3863,1278,315,1282
Feb-2020,5717,2695,2330,691,3869,1251,257,1326
Mar-2020,7185,3385,2966,834,4963,1394,434,1757
Apr-2020,23109,10515,10958,1636,17129,3260,1441,5259
May-2020,20975,9405,9918,1653,15152,3323,1488,4969
Jun-2020,17697,8317,8158,1222,12464,3069,1406,4178
Jul-2020,16308,7688,7596,1024,11376,2883,1250,3644
Aug-2020,13542,6558,6061,924,9170,2582,1121,3042
Sep-2020,12535,6036,5537,963,8691,2385,926,2969
Oct-2020,11049,5492,4721,836,7525,2169,784,2575
Nov-2020,10728,5449,4453,825,7373,2077,695,2463
Dec-2020,10736,5240,4551,946,7505,1994,608,2714
Jan-2021,10130,4969,4296,865,7027,1866,686,2482
Feb-2021,9972,4902,4245,825,6878,1995,523,2473
Mar-2021,9710,4784,4155,771,6653,1951,623,2298
Apr-2021,9812,4985,4073,754,6606,1998,589,2310
May-2021,9316,4842,3895,578,6344,1854,581,2133
Jun-2021,9484,4869,4038,577,6480,1910,598,2184
